codigo;ncm;descricao;anexo;segmento;item;convenios
03.024.00;2201.10.00;Água mineral em embalagens retornáveis com capacidade igual ou superior a 10 (dez) e inferior a 20 (vinte) litros;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;24.0;
03.025.00;2201.10.00;Água mineral em embalagens retornáveis com capacidade igual ou superior a 20 (vinte) litros

 ;IV;CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;25.0;
04.001.00;2402;Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos;V;CIGARROS E OUTROS PRODUTOS DERIVADOS DO FUMO;1.0;
04.002.00;2403.1;Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção

 ;V;CIGARROS E OUTROS PRODUTOS DERIVADOS DO FUMO;2.0;
05.001.00;2523;Cimento

 ;VI;CIMENTOS;1.0;
06.001.00;2207.10.10;Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Com um teor de água igual ou inferior a 1 % vol (álcool etílico anidro combustível);VII;COMBUSTÍVEIS E LUBRIFICANTES;1.0;
06.001.01;2207.10.90;Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Outros (álcool etílico hidratado combustível);VII;COMBUSTÍVEIS E LUBRIFICANTES;1.1;
06.002.00;2710.12.59;Gasolina automotiva A, exceto Premium;VII;COMBUSTÍVEIS E LUBRIFICANTES;2.0;
06.002.01;2710.12.59;Gasolina automotiva C, exceto Premium;VII;COMBUSTÍVEIS E LUBRIFICANTES;2.1;
06.002.02;2710.12.59;Gasolina automotiva A Premium;VII;COMBUSTÍVEIS E LUBRIFICANTES;2.2;
06.002.03;2710.12.59;Gasolina automotiva C Premium;VII;COMBUSTÍVEIS E LUBRIFICANTES;2.3;
06.003.00;2710.12.51;Gasolina de aviação;VII;COMBUSTÍVEIS E LUBRIFICANTES;3.0;
06.004.00;2710.19.19;Querosenes, exceto de aviação;VII;COMBUSTÍVEIS E LUBRIFICANTES;4.0;
06.005.00;2710.19.11;Querosene de aviação;VII;COMBUSTÍVEIS E LUBRIFICANTES;5.0;
06.006.00;2710.19.2;Óleo diesel A, exceto S10 e Marítimo;VII;COMBUSTÍVEIS E LUBRIFICANTES;6.0;
06.006.01;2710.19.2;Óleo diesel B, exceto S10 (mistura obrigatória);VII;COMBUSTÍVEIS E LUBRIFICANTES;6.1;
06.006.02;2710.19.2;Óleo diesel B, exceto S10 (misturas autorizativas);VII;COMBUSTÍVEIS E LUBRIFICANTES;6.2;
06.006.03;2710.19.2;Óleo diesel B, exceto S10 (misturas experimentais);VII;COMBUSTÍVEIS E LUBRIFICANTES;6.3;
06.006.04;2710.19.2;Óleo diesel A S10;VII;COMBUSTÍVEIS E LUBRIFICANTES;6.4;
06.006.05;2710.19.2;Óleo diesel B S10 (mistura obrigatória);VII;COMBUSTÍVEIS E LUBRIFICANTES;6.5;
06.006.06;2710.19.2;Óleo diesel B S10 (misturas autorizativas);VII;COMBUSTÍVEIS E LUBRIFICANTES;6.6;
06.006.07;2710.19.2;Óleo diesel B S10 (misturas experimentais);VII;COMBUSTÍVEIS E LUBRIFICANTES;6.7;
06.006.08;2710.19.2;Óleo Diesel Marítimo;VII;COMBUSTÍVEIS E LUBRIFICANTES;6.8;
06.006.09;2710.19.2;Outros óleos combustíveis, exceto os classificados no CEST 06.006.10 e 06.006.11;VII;COMBUSTÍVEIS E LUBRIFICANTES;6.9;
06.006.10;2710.19.2;Óleo combustível derivado de xisto;VII;COMBUSTÍVEIS E LUBRIFICANTES;6.10;
06.006.11;2710.19.22;Óleo combustível pesado;VII;COMBUSTÍVEIS E LUBRIFICANTES;6.11;
06.007.00;2710.19.3;Óleos lubrificantes;VII;COMBUSTÍVEIS E LUBRIFICANTES;7.0;
06.008.00;2710.19.9;Outros óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, exceto os que contenham biodiesel, exceto os resíduos de óleos e exceto as graxas lubrificantes;VII;COMBUSTÍVEIS E LUBRIFICANTES;8.0;
06.008.01;2710.19.9;Graxa lubrificante;VII;COMBUSTÍVEIS E LUBRIFICANTES;8.1;
06.009.00;2710.9;Resíduos de óleos;VII;COMBUSTÍVEIS E LUBRIFICANTES;9.0;
06.010.00;2711;Gás de petróleo e outros hidrocarbonetos gasosos, exceto GLP, GLGN, Gás Natural e Gás de xisto.;VII;COMBUSTÍVEIS E LUBRIFICANTES;10.0;
06.011.00;2711.19.10;Gás liquefeito de petróleo em botijão de 13 Kg (GLP);VII;COMBUSTÍVEIS E LUBRIFICANTES;11.0;
06.011.01;2711.19.10;Gás liquefeito de petróleo (GLP), exceto em botijão de 13 Kg;VII;COMBUSTÍVEIS E LUBRIFICANTES;11.1;
06.011.02;2711.19.10;Gás liquefeito de petróleo em botijão de 13 Kg (GLGNn);VII;COMBUSTÍVEIS E LUBRIFICANTES;11.2;
06.011.03;2711.19.10;Gás liquefeito de petróleo (GLGNn), exceto em botijão de 13 Kg;VII;COMBUSTÍVEIS E LUBRIFICANTES;11.3;
06.011.04;2711.19.10;Gás liquefeito de petróleo em botijão de 13 Kg (GLGNi);VII;COMBUSTÍVEIS E LUBRIFICANTES;11.4;
06.011.05;2711.19.10;Gás liquefeito de petróleo (GLGNi), exceto em botijão de 13 Kg;VII;COMBUSTÍVEIS E LUBRIFICANTES;11.5;
06.011.06;2711.19.10;Gás liquefeito de petróleo em botijão de 13 kg (Misturas);VII;COMBUSTÍVEIS E LUBRIFICANTES;11.6;
06.011.07;2711.19.10;Gás liquefeito de petróleo (Misturas), exceto em botijão de 13 Kg;VII;COMBUSTÍVEIS E LUBRIFICANTES;11.7;
06.012.00;2711.11.00;Gás Natural Liquefeito;VII;COMBUSTÍVEIS E LUBRIFICANTES;12.0;
06.013.00;2711.21.00;Gás Natural Gasoso;VII;COMBUSTÍVEIS E LUBRIFICANTES;13.0;
06.014.00;2711.29.90;Gás de xisto;VII;COMBUSTÍVEIS E LUBRIFICANTES;14.0;
06.015.00;2713;Coque de petróleo e outros resíduos de óleo de petróleo ou de minerais betuminosos;VII;COMBUSTÍVEIS E LUBRIFICANTES;15.0;
06.016.00;3826.00.00;Biodiesel e suas misturas, que não contenham ou que contenham menos de 70%, em peso, de óleos de petróleo ou de óleos minerais betuminosos;VII;COMBUSTÍVEIS E LUBRIFICANTES;16.0;
06.017.00;3403;Preparações lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos;VII;COMBUSTÍVEIS E LUBRIFICANTES;17.0;
06.018.00;2710.20.00;Óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, que contenham biodiesel, exceto os resíduos de óleos

 ;VII;COMBUSTÍVEIS E LUBRIFICANTES;18.0;
07.001.00;2716.00.00;Energia elétrica

 ;VIII;ENERGIA ELÉTRICA;1.0;
08.001.00;4016.99.90;Ferramentas de borracha vulcanizada não endurecida;IX;FERRAMENTAS; 1.0;
08.002.00;4417.00.10 4417.00.90;Ferramentas, armações e cabos de ferramentas, de madeira;IX;FERRAMENTAS; 2.0;
08.003.00;6804;Mós e artefatos semelhantes, sem armação, para moer, desfibrar, triturar, amolar, polir, retificar ou cortar; pedras para amolar ou para polir, manualmente, e suas partes, de pedras naturais, de abrasivos naturais ou artificiais aglomerados ou de cerâmica, mesmo com partes de outras matérias;IX;FERRAMENTAS;3.0;
08.004.00;8201;Pás, alviões, picaretas, enxadas, sachos, forcados e forquilhas, ancinhos e raspadeiras; machados, podões e ferramentas semelhantes com gume; tesouras de podar de todos os tipos; foices e foicinhas, facas para feno ou para palha, tesouras para sebes, cunhas e outras ferramentas manuais para agricultura, horticultura ou silvicultura;IX;FERRAMENTAS;4.0;
08.005.00;8202.20.00;Folhas de serras de fita;IX;FERRAMENTAS;5.0;
08.006.00;8202.91.00;Lâminas de serras máquinas;IX;FERRAMENTAS;6.0;
08.007.00;8202;Serras manuais e outras folhas de serras (incluídas as fresas-serras e as folhas não dentadas para serrar), exceto as classificadas nos CEST 08.005.00 e 08.006.00;IX;FERRAMENTAS;7.0;
08.008.00;8203;Limas, grosas, alicates (mesmo cortantes), tenazes, pinças, cisalhas para metais, corta-tubos, corta-pinos, saca-bocados e ferramentas semelhantes, manuais, exceto as pinças para sobrancelhas classificadas na posição 8203.20.90;IX;FERRAMENTAS;8.0;
08.009.00;8204;Chaves de porcas, manuais (incluídas as chaves dinamométricas); chaves de caixa intercambiáveis, mesmo com cabos;IX;FERRAMENTAS;9.0;
08.010.00;8205;Ferramentas manuais (incluídos os diamantes de vidraceiro) não especificadas nem compreendidas em outras posições, lamparinas ou lâmpadas de soldar (maçaricos) e semelhantes; tornos de apertar, sargentos e semelhantes, exceto os acessórios ou partes de máquinas-ferramentas; bigornas; forjas-portáteis; mós com armação, manuais ou de pedal;IX;FERRAMENTAS;10.0;
08.011.00;8206.00.00;Ferramentas de pelo menos duas das posições 8202 a 8205, acondicionadas em sortidos para venda a retalho;IX;FERRAMENTAS;11.0;
08.012.00;8207.40 8207.60 8207.70;Ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar;IX;FERRAMENTAS;12.0;
08.013.00;8207;Outras ferramentas intercambiáveis para ferramentas manuais, mesmo mecânicas, ou para máquinas-ferramentas (por exemplo, de embutir, estampar, puncionar, furar, tornear, aparafusar), incluídas as fieiras de estiragem ou de extrusão, para metais, e as ferramentas de perfuração ou de sondagem, exceto forma ou gabarito de produtos em epoxy e as classificadas no CEST 08.012.00;IX;FERRAMENTAS;13.0;
08.014.00;8208;Facas e lâminas cortantes, para máquinas ou para aparelhos mecânicos;IX;FERRAMENTAS;14.0;
08.015.00;8209.00.11;Plaquetas ou pastilhas intercambiáveis;IX;FERRAMENTAS;15.0;
08.016.00;8209.00;Outras plaquetas, varetas, pontas e objetos semelhantes para ferramentas, não montados, de ceramais (“cermets”), exceto as classificadas no CEST 08.015.00;IX;FERRAMENTAS;16.0;
08.017.00;8211;Facas de lâmina cortante ou serrilhada, incluídas as podadeiras de lâmina móvel, e suas lâminas, exceto as de uso doméstico;IX;FERRAMENTAS;17.0;
08.018.00;8213;Tesouras e suas lâminas;IX;FERRAMENTAS;18.0;
08.019.00;8467;Ferramentas pneumáticas, hidráulicas ou com motor (elétrico ou não elétrico) incorporado, de uso manual, exceto o descrito no CEST 08.019.01;IX;FERRAMENTAS;19.0;
08.019.01;8467.81.00;Moto-serras portáteis de corrente, com motor incorporado, não elétrico, de uso agrícola;IX;FERRAMENTAS;19.1;
08.020.00;9015;Instrumentos e aparelhos de geodesia, topografia, agrimensura, nivelamento, fotogrametria, hidrografia, oceanografia, hidrologia, meteorologia ou de geofísica, exceto bussolas; telêmetros;IX;FERRAMENTAS;20.0;
08.021.00;9017.20.00
9017.30
9017.80
9017.90.90;Instrumentos de desenho, de traçado ou de cálculo; metros, micrômetros, paquímetros, calibres e semelhantes; partes e acessórios;IX;FERRAMENTAS;21.0;
08.022.00;9025.11.90
9025.90.10;Termômetros, suas partes e acessórios;IX;FERRAMENTAS;22.0;
08.023.00;9025.19
9025.90.90;Pirômetros, suas partes e acessórios

 ;IX;FERRAMENTAS;23.0;
09.001.00;8539;Lâmpadas elétricas;X;LÂMPADAS, REATORES E “STARTER”;1.0;
09.002.00;8540;Lâmpadas eletrônicas;X;LÂMPADAS, REATORES E “STARTER”;2.0;
09.003.00;8504.10.00;Reatores para lâmpadas ou tubos de descargas;X;LÂMPADAS, REATORES E “STARTER”;3.0;
09.004.00;8536.50;“Starter”;X;LÂMPADAS, REATORES E “STARTER”;4.0;
09.005.00;8539.50.00;Lâmpadas de LED (Diodos Emissores de Luz)

 ;X;LÂMPADAS, REATORES E “STARTER”;5.0;
10.001.00;2522;Cal;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;1.0;
10.002.00;3816.00.1
3824.50.00;Argamassas;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;2.0;
10.003.00;3214.90.00;Outras argamassas;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;3.0;
10.004.00;3910.00;Silicones em formas primárias, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;4.0;
10.005.00;3916;Revestimentos de PVC e outros plásticos; forro, sancas e afins de PVC, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;5.0;
10.006.00;3917;Tubos, e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;6.0;
10.007.00;3918;Revestimento de pavimento de PVC e outros plásticos;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;7.0;
10.008.00;3919;Chapas, folhas, tiras, fitas, películas e outras formas planas, autoadesivas, de plásticos, mesmo em rolos, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;8.0;
10.009.00;3919
3920
3921;Veda rosca, lona plástica para uso na construção, fitas isolantes e afins;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;9.0;
10.010.00;3921;Telha de plástico, mesmo reforçada com fibra de vidro;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;10.0;
10.011.00;3921;Cumeeira de plástico, mesmo reforçada com fibra de vidro;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;11.0;
10.012.00;3921;Chapas, laminados plásticos em bobina, para uso na construção, exceto os descritos no CEST 10.010.00 e 10.011.00;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;12.0;
10.013.00;3922;Banheiras, boxes para chuveiros, pias, lavatórios, bidês, sanitários e seus assentos e tampas, caixas de descarga e artigos semelhantes para usos sanitários ou higiênicos, de plásticos;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;13.0;
10.014.00;3924;Artefatos de higiene/toucador de plástico, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;14.0;
10.015.00;3925.10.00;Caixa d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;15.0;
10.016.00;3925.90;Outras telhas, cumeeira e caixa d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;16.0;
10.017.00;3925.10.00
3925.90;Artefatos para apetrechamento de construções, de plásticos, não especificados nem compreendidos em outras posições, incluindo persianas, sancas, molduras, apliques e rosetas, caixilhos de polietileno e outros plásticos, exceto os descritos nos CEST 10.015.00 e 10.016.00;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;17.0;
10.018.00;3925.20.00;Portas, janelas e seus caixilhos, alizares e soleiras;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;18.0;
10.019.00;3925.30.00;Postigos, estores (incluídas as venezianas) e artefatos semelhantes e suas partes;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;19.0;
10.020.00;3926.90;Outras obras de plástico, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;20.0;
10.021.00;4814;Papel de parede e revestimentos de parede semelhantes; papel para vitrais;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;21.0;
10.022.00;6810.19.00;Telhas de concreto;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;22.0;
10.023.00;6811;REVOGADO;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;23.0;
10.024.00;6811;Caixas d’água, tanques e reservatórios e suas tampas, telhas, calhas, cumeeiras e afins, de fibrocimento, cimento-celulose ou semelhantes, contendo ou não amianto.;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;24.0;
10.025.00;6901.00.00;Tijolos, placas (lajes), ladrilhos e outras peças cerâmicas de farinhas siliciosas fósseis (“kieselghur”, tripolita, diatomita, por exemplo) ou de terras siliciosas semelhantes;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;25.0;
10.026.00;6902;Tijolos, placas (lajes), ladrilhos e peças cerâmicas semelhantes, para uso na construção, refratários, que não sejam de farinhas siliciosas fósseis nem de terras siliciosas semelhantes;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;26.0;
10.027.00;6904;Tijolos para construção, tijoleiras, tapa-vigas e produtos semelhantes, de cerâmica;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;27.0;
10.028.00;6905;Telhas, elementos de chaminés, condutores de fumaça, ornamentos arquitetônicos, de cerâmica, e outros produtos cerâmicos para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;28.0;
10.029.00;6906.00.00;Tubos, calhas ou algerozes e acessórios para canalizações, de cerâmica;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;29.0;
10.030.00;6907;Ladrilhos e placas de cerâmica, exclusivamente para pavimentação ou revestimento;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;30.0;
10.030.01;6907;Cubos, pastilhas e artigos semelhantes de cerâmica, mesmo com suporte, exceto os descritos CEST 10.030.00;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;30.1.;
10.031.00;6910;Pias, lavatórios, colunas para lavatórios, banheiras, bidês, sanitários, caixas de descarga, mictórios e aparelhos fixos semelhantes para usos sanitários, de cerâmica;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;31.0;
10.032.00;6912.00.00;Artefatos de higiene/toucador de cerâmica;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;32.0;
10.033.00;7003;Vidro vazado ou laminado, em chapas, folhas ou perfis, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;33.0;
10.034.00;7004;Vidro estirado ou soprado, em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;34.0;
10.035.00;7005;Vidro flotado e vidro desbastado ou polido em uma ou em ambas as faces, em chapas ou em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;35.0;
10.036.00;7007.19.00;Vidros temperados;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;36.0;
10.037.00;7007.29.00;Vidros laminados;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;37.0;
10.038.00;7008;Vidros isolantes de paredes múltiplas;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;38.0;
10.039.00;7016;Blocos, placas, tijolos, ladrilhos, telhas e outros artefatos, de vidro prensado ou moldado, mesmo armado, para uso na construção; cubos, pastilhas e outros artigos semelhantes;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;39.0;
10.040.00;7214.20.00;Barras próprias para construções, exceto vergalhões;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;40.0;
10.041.00;7308.90.10;Outras barras próprias para construções, exceto vergalhões;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;41.0;
10.042.00;7214.20.00;Vergalhões;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;42.0;
10.043.00;7213
7308.90.10;Outros vergalhões;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;43.0;
10.044.00;7217.10.90
7312;Fios de ferro ou aço não ligados, não revestidos, mesmo polidos; cordas, cabos, tranças (entrançados), lingas e artefatos semelhantes, de ferro ou aço, não isolados para usos elétricos;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;44.0;
10.045.00;7217.20.10;Outros fios de ferro ou aço, não ligados, galvanizados com teor de carbono superior ou igual a 0,6%, em peso;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;45.0;
10.045.01;7217.20.90;Outros fios de ferro ou aço, não ligados, galvanizados;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;45.1;
10.046.00;7307;Acessórios para tubos (inclusive uniões, cotovelos, luvas ou mangas), de ferro fundido, ferro ou aço;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;46.0;
10.047.00;7308.30.00;Portas e janelas, e seus caixilhos, alizares e soleiras de ferro fundido, ferro ou aço;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;47.0;
10.048.00;7308.40.00
7308.90;Material para andaimes, para armações (cofragens) e para escoramentos, (inclusive armações prontas, para estruturas de concreto armado ou argamassa armada), eletrocalhas e perfilados de ferro fundido, ferro ou aço, próprios para construção, exceto treliças de aço;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;48.0;
10.049.00;7308.40.00;Treliças de aço;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;49.0;
10.050.00;7308.90.90;Telhas metálicas;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;50.0;
10.051.00;7310;Caixas diversas (tais como caixa de correio, de entrada de água, de energia, de instalação) de ferro fundido, ferro ou aço; próprias para a construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;51.0;
10.052.00;7313.00.00;Arame farpado, de ferro ou aço, arames ou tiras, retorcidos, mesmo farpados, de ferro ou aço, dos tipos utilizados em cercas;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;52.0;
10.053.00;7314;Telas metálicas, grades e redes, de fios de ferro ou aço;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;53.0;
10.054.00;7315.11.00;Correntes de rolos, de ferro fundido, ferro ou aço;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;54.0;
10.055.00;7315.12.90;Outras correntes de elos articulados, de ferro fundido, ferro ou aço;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;55.0;
10.056.00;7315.82.00;Correntes de elos soldados, de ferro fundido, de ferro ou aço;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;56.0;
10.057.00;7317.00;Tachas, pregos, percevejos, escápulas, grampos ondulados ou biselados e artefatos semelhantes, de ferro fundido, ferro ou aço, mesmo com a cabeça de outra matéria, exceto cobre;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;57.0;
10.058.00;7318;Parafusos, pinos ou pernos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (incluídas as de pressão) e artefatos semelhantes, de ferro fundido, ferro ou aço;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;58.0;
10.059.00;7323;Palha de ferro ou aço, exceto os de uso doméstico classificados na posição NCM 7323.10.00;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;59.0;
10.059.01;7323;Esponjas, esfregões, luvas e artefatos semelhantes para limpeza, polimento e usos semelhantes, de ferro ou aço, exceto os de uso doméstico classificados na posição NCM 7323.10.00;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;59.1;
10.060.00;7324;Artefatos de higiene ou de toucador, e suas partes, de ferro fundido, ferro ou aço, incluídas as pias, banheiras, lavatórios, cubas, mictórios, tanques e afins de ferro fundido, ferro ou aço, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;60.0;
10.061.00;7325;Outras obras moldadas, de ferro fundido, ferro ou aço, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;61.0;
10.062.00;7326;Abraçadeiras;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;62.0;
10.063.00;7407;Barras de cobre;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;63.0;
10.064.00;7411.10.10;Tubos de cobre e suas ligas, para instalações de água quente e gás, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;64.0;
10.065.00;7412;Acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas) de cobre e suas ligas, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;65.0;
10.066.00;7415;Tachas, pregos, percevejos, escápulas e artefatos semelhantes, de cobre, ou de ferro ou aço com cabeça de cobre, parafusos, pinos ou pernos, roscados, porcas, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (incluídas as de pressão), e artefatos semelhantes, de cobre;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;66.0;
10.067.00;7418.20.00;Artefatos de higiene/toucador de cobre, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;67.0;
10.068.00;7607.19.90;Manta de subcobertura aluminizada;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;68.0;
10.069.00;7608;Tubos de alumínio e suas ligas, para refrigeração e ar condicionado, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;69.0;
10.070.00;7609.00.00;Acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas), de alumínio, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;70.0;
10.071.00;7610;Construções e suas partes (por exemplo, pontes e elementos de pontes, torres, pórticos ou pilones, pilares, colunas, armações, estruturas para telhados, portas e janelas, e seus caixilhos, alizares e soleiras, balaustradas), de alumínio, exceto as construções pré-fabricadas da posição 9406; chapas, barras, perfis, tubos e semelhantes, de alumínio, próprios para construções;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;71.0;
10.072.00;7615.20.00;Artefatos de higiene/toucador de alumínio, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;72.0;
10.073.00;7616;Outras obras de alumínio, próprias para construções, incluídas as persianas;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;73.0;
10.074.00;8302.41.00;Outras guarnições, ferragens e artigos semelhantes de metais comuns, para construções, inclusive puxadores.;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;74.0;
10.075.00;8301;Fechaduras e ferrolhos (de chave, de segredo ou elétricos), de metais comuns, incluídas as suas partes fechos e armações com fecho, com fechadura, de metais comuns chaves para estes artigos, de metais comuns; exceto os de uso automotivo;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;75.0;
10.076.00;8302.10.00;Dobradiças de metais comuns, de qualquer tipo;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;76.0;
10.077.00;8307;Tubos flexíveis de metais comuns, mesmo com acessórios, para uso na construção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;77.0;
10.078.00;8311;Fios, varetas, tubos, chapas, eletrodos e artefatos semelhantes, de metais comuns ou de carbonetos metálicos, revestidos exterior ou interiormente de decapantes ou de fundentes, para soldagem (soldadura) ou depósito de metal ou de carbonetos metálicos fios e varetas de pós de metais comuns aglomerados, para metalização por projeção;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;78.0;
10.079.00;8481;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;79.0;
10.080.00;7009;Espelhos de vidro, mesmo emoldurados, exceto os de uso automotivo

 ;XI;MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;80.0;
11.001.00;2828.90.11
2828.90.19
3206.41.00
3402.20.00
3808.94.19;Água sanitária, branqueador e outros alvejantes;XII;MATERIAIS DE LIMPEZA;1.0;
