codigo;descricao;inicio;fim;ato;numero;ano
2835.10.1;Fosfinatos (hipofosfitos);01/01/2017;31/03/2022;Res Camex;000125;2016
2835.10.11;De sódio;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.10.19;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.10.2;Fosfonatos (fosfitos);01/01/2017;31/03/2022;Res Camex;000125;2016
2835.10.21;Dibásico de chumbo;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.10.29;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.2;- Fosfatos:;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.22.00;-- Mono ou dissódico;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.24.00;-- De potássio;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.25.00;-- Hidrogeno-ortofosfato de cálcio (fosfato dicálcico);01/01/2017;31/03/2022;Res Camex;000125;2016
2835.26.00;-- Outros fosfatos de cálcio;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.29;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.29.10;De ferro;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.29.20;De cobalto;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.29.30;De cobre;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.29.40;De cromo;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.29.50;De estrôncio;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.29.60;De manganês;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.29.70;De triamônio;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.29.80;De trissódio;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.29.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.3;- Polifosfatos:;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.31;-- Trifosfato de sódio (tripolifosfato de sódio);01/01/2017;31/03/2022;Res Camex;000125;2016
2835.31.10;Grau alimentício, de acordo com o estabelecido pela Food and Agriculture Organization - Organização Mundial da Saúde (FAO - OMS) ou pelo Food Chemical Codex (FCC);01/01/2017;31/03/2022;Res Camex;000125;2016
2835.31.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.39;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.39.10;Metafosfatos de sódio;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.39.20;Pirofosfatos de sódio;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.39.30;Pirofosfato de zinco;01/01/2017;31/03/2022;Res Camex;000125;2016
2835.39.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
28.36;Carbonatos; peroxocarbonatos (percarbonatos); carbonato de amônio comercial que contenha carbamato de amônio.;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.20;- Carbonato dissódico;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.20.10;Anidro;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.20.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.30.00;- Hidrogenocarbonato (bicarbonato) de sódio;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.40.00;- Carbonatos de potássio;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.50.00;- Carbonato de cálcio;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.60;- Carbonato de bário;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.60.10;Com um teor de BaCO3 igual ou superior a 98%, em peso;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.60.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.9;- Outros:;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.91.00;-- Carbonatos de lítio;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.92.00;-- Carbonato de estrôncio;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.99;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.99.1;Carbonatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.99.11;De magnésio, de densidade aparente inferior a 200 kg/m3;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.99.12;De zircônio;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.99.13;De amônio comercial e outros carbonatos de amônio;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.99.19;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2836.99.20;Peroxocarbonatos (percarbonatos);01/01/2017;31/03/2022;Res Camex;000125;2016
28.37;Cianetos, oxicianetos e cianetos complexos.;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.1;- Cianetos e oxicianetos:;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.11.00;-- De sódio;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.19;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.19.1;Cianetos;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.19.11;De potássio;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.19.12;De zinco;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.19.14;De cobre I (cianeto cuproso);01/01/2017;31/03/2022;Res Camex;000125;2016
2837.19.15;De cobre II (cianeto cúprico);01/01/2017;31/03/2022;Res Camex;000125;2016
2837.19.19;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.19.20;Oxicianetos;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.20;- Cianetos complexos;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.20.1;Ferrocianetos;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.20.11;De sódio;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.20.12;De ferro II (ferrocianeto ferroso);01/01/2017;31/03/2022;Res Camex;000125;2016
2837.20.19;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.20.2;Ferricianetos;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.20.21;De potássio;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.20.22;De ferro II (ferricianeto ferroso);01/01/2017;31/03/2022;Res Camex;000125;2016
2837.20.23;De ferro III (ferricianeto férrico);01/01/2017;31/03/2022;Res Camex;000125;2016
2837.20.29;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2837.20.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
28.39;Silicatos; silicatos dos metais alcalinos comerciais.;01/01/2017;31/03/2022;Res Camex;000125;2016
2839.1;- De sódio:;01/01/2017;31/03/2022;Res Camex;000125;2016
2839.11.00;-- Metassilicatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2839.19.00;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2839.90;- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2839.90.10;De magnésio;01/01/2017;31/03/2022;Res Camex;000125;2016
2839.90.20;De alumínio;01/01/2017;31/03/2022;Res Camex;000125;2016
2839.90.30;De zircônio;01/01/2017;31/03/2022;Res Camex;000125;2016
2839.90.40;De chumbo;01/01/2017;31/03/2022;Res Camex;000125;2016
2839.90.50;De potássio;01/01/2017;31/03/2022;Res Camex;000125;2016
2839.90.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
28.40;Boratos; peroxoboratos (perboratos).;01/01/2017;31/03/2022;Res Camex;000125;2016
2840.1;- Tetraborato dissódico (bórax refinado):;01/01/2017;31/03/2022;Res Camex;000125;2016
2840.11.00;-- Anidro;01/01/2017;31/03/2022;Res Camex;000125;2016
2840.19.00;-- Outro;01/01/2017;31/03/2022;Res Camex;000125;2016
2840.20.00;- Outros boratos;01/01/2017;31/03/2022;Res Camex;000125;2016
2840.30.00;- Peroxoboratos (perboratos);01/01/2017;31/03/2022;Res Camex;000125;2016
28.41;Sais dos ácidos oxometálicos ou peroxometálicos.;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.30.00;- Dicromato de sódio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.50;- Outros cromatos e dicromatos; peroxocromatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.50.1;Cromatos e dicromatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.50.11;Cromato de amônio; dicromato de amônio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.50.12;Cromato de potássio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.50.13;Cromato de sódio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.50.14;Dicromato de potássio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.50.15;Cromato de zinco;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.50.16;Cromato de chumbo;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.50.19;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.50.20;Peroxocromatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.6;- Manganitos, manganatos e permanganatos:;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.61.00;-- Permanganato de potássio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.69;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.69.10;Manganitos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.69.20;Manganatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.69.30;Permanganatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.70;- Molibdatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.70.10;De amônio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.70.20;De sódio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.70.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.80;- Tungstatos (volframatos);01/01/2017;31/03/2022;Res Camex;000125;2016
2841.80.10;De amônio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.80.20;De chumbo;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.80.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90;- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.1;Titanatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.11;De chumbo;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.12;De bário ou de bismuto;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.13;De cálcio ou de estrôncio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.14;De magnésio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.15;De lantânio ou de neodímio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.19;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.2;Ferritos e ferratos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.21;Ferrito de bário;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.22;Ferrito de estrôncio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.29;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.30;Vanadatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.4;Estanatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.41;De bário;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.42;De bismuto;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.43;De cálcio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.49;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.50;Plumbatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.60;Antimoniatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.70;Zincatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.8;Aluminatos;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.81;De sódio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.82;De magnésio;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.83;De bismuto;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.89;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2841.90.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
28.42;Outros sais dos ácidos ou peroxoácidos inorgânicos (incluindo os aluminossilicatos de constituição química definida ou não), exceto as azidas.;01/01/2017;31/03/2022;Res Camex;000125;2016
2842.10;- Silicatos duplos ou complexos, incluindo os aluminossilicatos de constituição química definida ou não;01/01/2017;31/03/2022;Res Camex;000125;2016
2842.10.10;Zeólitas do tipo utilizado como trocadores de íons para o tratamento de águas;01/01/2017;31/03/2022;Res Camex;000125;2016
2842.10.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2842.90.00;- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
28.43;Metais preciosos no estado coloidal; compostos inorgânicos ou orgânicos de metais preciosos, de constituição química definida ou não; amálgamas de metais preciosos.;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.10.00;- Metais preciosos no estado coloidal;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.2;- Compostos de prata:;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.21.00;-- Nitrato de prata;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.29;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.29.10;Vitelinato de prata;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.29.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.30;- Compostos de ouro;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.30.10;Sulfeto de ouro em dispersão de gelatina;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.30.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.90;- Outros compostos; amálgamas;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.90.1;Dexormaplatina; enloplatina; iproplatina; lobaplatina; miboplatina; ormaplatina; sebriplatina e zeniplatina;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.90.11;Apresentados como medicamentos;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.90.19;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2843.90.20;Tricloreto de rutênio em solução aquosa com uma concentração igual ou superior a 17 %, mas inferior ou igual a 27 %, em peso;01/07/2017;31/03/2022;Res Camex;000035;2017
2843.90.30;Ácido hexacloroirídico em solução aquosa com uma concentração igual ou superior a 17 %, mas inferior ou igual a 27 %, em peso;01/07/2017;31/03/2022;Res Camex;000035;2017
2843.90.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
28.44;Elementos químicos radioativos e isótopos radioativos (incluindo os elementos químicos e isótopos físseis (cindíveis) ou férteis), e seus compostos; misturas e resíduos que contenham esses produtos.;01/01/2017;31/03/2022;Res Camex;000125;2016
2844.10.00;- Urânio natural e seus compostos; ligas, dispersões (incluindo os cermets), produtos cerâmicos e misturas que contenham urânio natural ou compostos de urânio natural;01/01/2017;31/03/2022;Res Camex;000125;2016
2844.20.00;- Urânio enriquecido em U235 e seus compostos; plutônio e seus compostos; ligas, dispersões (incluindo os cermets), produtos cerâmicos e misturas que contenham urânio enriquecido em U235, plutônio ou compostos destes produtos;01/01/2017;31/03/2022;Res Camex;000125;2016
2844.30.00;- Urânio empobrecido em U235 e seus compostos; tório e seus compostos; ligas, dispersões (incluindo os cermets), produtos cerâmicos e misturas que contenham urânio empobrecido em U235, tório ou compostos destes produtos;01/01/2017;31/03/2022;Res Camex;000125;2016
2844.40;- Elementos, isótopos e compostos, radioativos, exceto os das subposições 2844.10, 2844.20 ou 2844.30; ligas, dispersões (incluindo os cermets), produtos cerâmicos e misturas, que contenham estes elementos, isótopos ou compostos; resíduos radioativos;01/01/2017;31/03/2022;Res Camex;000125;2016
2844.40.10;Molibdênio 99 absorvido em alumina, apto para a obtenção de Tecnécio 99 (reativo de diagnóstico para medicina nuclear);01/01/2017;31/03/2022;Res Camex;000125;2016
2844.40.20;Cobalto 60;01/01/2017;31/03/2022;Res Camex;000125;2016
2844.40.30;Iodo 131;01/01/2017;31/03/2022;Res Camex;000125;2016
2844.40.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2844.50.00;- Elementos combustíveis (cartuchos) usados (irradiados) de reatores nucleares;01/01/2017;31/03/2022;Res Camex;000125;2016
28.45;Isótopos não incluídos na posição 28.44; seus compostos, inorgânicos ou orgânicos, de constituição química definida ou não.;01/01/2017;31/03/2022;Res Camex;000125;2016
2845.10.00;- Água pesada (óxido de deutério);01/01/2017;31/03/2022;Res Camex;000125;2016
2845.90.00;- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
28.46;Compostos, inorgânicos ou orgânicos, dos metais das terras raras, de ítrio ou de escândio ou das misturas destes metais.;01/01/2017;31/03/2022;Res Camex;000125;2016
2846.10;- Compostos de cério;01/01/2017;31/03/2022;Res Camex;000125;2016
2846.10.10;Óxido cérico;01/01/2017;31/03/2022;Res Camex;000125;2016
2846.10.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2846.90;- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2846.90.10;Óxido de praseodímio;01/01/2017;31/03/2022;Res Camex;000125;2016
2846.90.20;Cloretos dos demais metais das terras raras;01/01/2017;31/03/2022;Res Camex;000125;2016
2846.90.30;Gadopentetato de dimeglumina;01/01/2017;31/03/2022;Res Camex;000125;2016
2846.90.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2847.00.00;Peróxido de hidrogênio (água oxigenada), mesmo solidificado com ureia.;01/01/2017;31/03/2022;Res Camex;000125;2016
28.49;Carbonetos de constituição química definida ou não.;01/01/2017;31/03/2022;Res Camex;000125;2016
2849.10.00;- De cálcio;01/01/2017;31/03/2022;Res Camex;000125;2016
2849.20.00;- De silício;01/01/2017;31/03/2022;Res Camex;000125;2016
2849.90;- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2849.90.10;De boro;01/01/2017;31/03/2022;Res Camex;000125;2016
2849.90.20;De tântalo;01/01/2017;31/03/2022;Res Camex;000125;2016
2849.90.30;De tungstênio (volfrâmio);01/01/2017;31/03/2022;Res Camex;000125;2016
2849.90.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2850.00;Hidretos, nitretos, azidas, silicietos e boretos, de constituição química definida ou não, exceto os compostos que constituam igualmente carbonetos da posição 28.49.;01/01/2017;31/03/2022;Res Camex;000125;2016
2850.00.10;Nitreto de boro;01/01/2017;31/03/2022;Res Camex;000125;2016
2850.00.20;Silicieto de cálcio;01/01/2017;31/03/2022;Res Camex;000125;2016
2850.00.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
28.52;Compostos, inorgânicos ou orgânicos, de mercúrio, de constituição química definida ou não, exceto as amálgamas.;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10;- De constituição química definida;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.1;Compostos inorgânicos;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.11;Óxidos;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.12;Cloreto de mercúrio I (cloreto mercuroso);01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.13;Cloreto de mercúrio II (cloreto mercúrico), para uso fotográfico, acondicionado para venda a retalho, pronto para utilização;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.14;Cloreto de mercúrio II (cloreto mercúrico), apresentado de outro modo;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.19;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.2;Compostos orgânicos;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.21;Acetato de mercúrio;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.22;Timerosal;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.23;Estearato de mercúrio;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.24;Lactato de mercúrio;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.25;Salicilato de mercúrio;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.10.29;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2852.90.00;- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
28.53;Fosfetos, de constituição química definida ou não, exceto ferrofósforos; outros compostos inorgânicos (incluindo as águas destiladas ou de condutibilidade e águas de igual grau de pureza); ar líquido (incluindo o ar líquido cujos gases raros foram eliminados); ar comprimido; amálgamas, exceto de metais preciosos.;01/01/2017;31/03/2022;Res Camex;000125;2016
2853.10.00;- Cloreto de cianogênio (clorociano);01/01/2017;31/03/2022;Res Camex;000125;2016
2853.90;- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2853.90.1;Fosfetos, de constituição química definida ou não;01/01/2017;31/03/2022;Res Camex;000125;2016
2853.90.11;De alumínio;01/01/2017;31/03/2022;Res Camex;000125;2016
2853.90.12;De magnésio;01/01/2017;31/03/2022;Res Camex;000125;2016
2853.90.13;De cobre (fosfetos de cobre), contendo mais de 15 %, em peso, de fósforo;01/01/2017;31/03/2022;Res Camex;000125;2016
2853.90.19;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2853.90.20;Cianamida e seus derivados metálicos;01/01/2017;31/03/2022;Res Camex;000125;2016
2853.90.30;Sulfocloretos de fósforo;01/01/2017;31/03/2022;Res Camex;000125;2016
2853.90.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
29;Produtos químicos orgânicos.;01/01/2017;31/03/2022;Res Camex;000125;2016
29.01;Hidrocarbonetos acíclicos.;01/01/2017;31/03/2022;Res Camex;000125;2016
2901.10.00;- Saturados;01/01/2017;31/03/2022;Res Camex;000125;2016
2901.2;- Não saturados:;01/01/2017;31/03/2022;Res Camex;000125;2016
2901.21.00;-- Etileno;01/01/2017;31/03/2022;Res Camex;000125;2016
2901.22.00;-- Propeno (propileno);01/01/2017;31/03/2022;Res Camex;000125;2016
2901.23.00;-- Buteno (butileno) e seus isômeros;01/01/2017;31/03/2022;Res Camex;000125;2016
2901.24;-- Buta-1,3-dieno e isopreno;01/01/2017;31/03/2022;Res Camex;000125;2016
2901.24.10;Buta-1,3-dieno;01/01/2017;31/03/2022;Res Camex;000125;2016
2901.24.20;Isopreno;01/01/2017;31/03/2022;Res Camex;000125;2016
2901.29.00;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
29.02;Hidrocarbonetos cíclicos.;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.1;- Ciclânicos, ciclênicos ou cicloterpênicos:;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.11.00;-- Cicloexano;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.19;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.19.10;Limoneno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.19.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.20.00;- Benzeno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.30.00;- Tolueno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.4;- Xilenos:;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.41.00;-- o-Xileno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.42.00;-- m-Xileno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.43.00;-- p-Xileno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.44.00;-- Mistura de isômeros do xileno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.50.00;- Estireno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.60.00;- Etilbenzeno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.70.00;- Cumeno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.90;- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.90.10;Difenila (1,1'-bifenila);01/01/2017;31/03/2022;Res Camex;000125;2016
2902.90.20;Naftaleno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.90.30;Antraceno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.90.40;alfa-Metilestireno;01/01/2017;31/03/2022;Res Camex;000125;2016
2902.90.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
29.03;Derivados halogenados dos hidrocarbonetos.;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.1;- Derivados clorados saturados dos hidrocarbonetos acíclicos:;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.11;-- Clorometano (cloreto de metila) e cloroetano (cloreto de etila);01/01/2017;31/03/2022;Res Camex;000125;2016
2903.11.10;Clorometano (cloreto de metila);01/01/2017;31/03/2022;Res Camex;000125;2016
2903.11.20;Cloroetano (cloreto de etila);01/01/2017;31/03/2022;Res Camex;000125;2016
2903.12.00;-- Diclorometano (cloreto de metileno);01/01/2017;31/03/2022;Res Camex;000125;2016
2903.13.00;-- Clorofórmio (triclorometano);01/01/2017;31/03/2022;Res Camex;000125;2016
2903.14.00;-- Tetracloreto de carbono;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.15.00;-- Dicloreto de etileno (ISO) (1,2-dicloroetano);01/01/2017;31/03/2022;Res Camex;000125;2016
2903.19;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.19.10;1,1,1-Tricloroetano (metilclorofórmio);01/01/2017;31/03/2022;Res Camex;000125;2016
2903.19.20;1,1,2-Tricloroetano;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.19.90;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.2;- Derivados clorados não saturados dos hidrocarbonetos acíclicos:;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.21.00;-- Cloreto de vinila (cloroetileno);01/01/2017;31/03/2022;Res Camex;000125;2016
2903.22.00;-- Tricloroetileno;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.23.00;-- Tetracloroetileno (percloroetileno);01/01/2017;31/03/2022;Res Camex;000125;2016
2903.29;-- Outros;01/07/2021;31/03/2022;Res Camex;000272;2021
2903.29.10;Hexaclorobutadieno;01/07/2021;31/03/2022;Res Camex;000272;2021
2903.29.90;Outros;01/07/2021;31/03/2022;Res Camex;000272;2021
2903.3;- Derivados fluorados, bromados e iodados dos hidrocarbonetos acíclicos:;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.31.00;-- Dibrometo de etileno (ISO) (1,2-dibromoetano);01/01/2017;31/03/2022;Res Camex;000125;2016
2903.39;-- Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.39.1;Derivados fluorados;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.39.11;1,1,1,2-Tetrafluoroetano;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.39.12;1,1,3,3,3-Pentafluoro-2-(trifluorometil)prop-1-eno;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.39.19;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.39.2;Derivados bromados;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.39.21;Bromometano;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.39.29;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.39.3;Derivados iodados;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.39.31;Iodoetano;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.39.32;Iodofórmio;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.39.39;Outros;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.7;- Derivados halogenados dos hidrocarbonetos acíclicos que contenham pelo menos dois halogênios diferentes:;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.71.00;-- Clorodifluorometanos;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.72.00;-- Diclorotrifluoroetanos;01/01/2017;31/03/2022;Res Camex;000125;2016
2903.73.00;-- Diclorofluoroetanos;01/01/2017;31/03/2022;Res Camex;000125;2016
